lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
2.356378000000000128e+01,1.204778900000000021e+02,-2.170897832817337558e-01,1.000000000000000000e+00,5.865850000000000231e-02,2.545727554179566532e+00,6.254179566563467318e+01,3.023366459627329306e+01
2.356378000000000128e+01,1.204778900000000021e+02,-1.697230769230769098e+00,1.000000000000000000e+00,5.760849999999999999e-02,3.683169230769230751e+00,7.343076923076922924e+01,3.026999999999999957e+01
2.356378000000000128e+01,1.204778900000000021e+02,-3.818765432098765622e+00,1.000000000000000000e+00,5.655849999999999766e-02,3.645555555555555660e+00,6.000925925925925952e+01,3.022139318885448844e+01
2.356378000000000128e+01,1.204778900000000021e+02,-3.105758513931888398e+00,1.000000000000000000e+00,5.550850000000000228e-02,4.034444444444444500e+00,4.900000000000000000e+01,3.013266253869969091e+01
2.356378000000000128e+01,1.204778900000000021e+02,-2.120613496932515218e+00,1.000000000000000000e+00,5.445849999999999996e-02,3.719382716049382864e+00,4.002453987730061158e+01,3.004944954128440315e+01
2.356378000000000128e+01,1.204778900000000021e+02,-1.231857585139318978e+00,1.000000000000000000e+00,5.249300000000000493e-02,3.444846625766871284e+00,5.060681114551083226e+01,2.996652173913043171e+01
2.356378000000000128e+01,1.204778900000000021e+02,-5.825925925925925508e-01,1.000000000000000000e+00,5.159300000000000691e-02,3.204024767801857632e+00,7.130555555555555713e+01,2.989999999999999858e+01
2.356378000000000128e+01,1.204778900000000021e+02,-4.437037037037037113e-01,1.000000000000000000e+00,5.069300000000000195e-02,4.000000000000000000e+00,5.727554179566563164e+01,2.988830769230769135e+01
2.356378000000000128e+01,1.204778900000000021e+02,-3.498765432098765449e-01,1.000000000000000000e+00,3.434500000000000053e-02,4.953703703703703276e+00,7.824074074074074758e+01,2.980402476780185950e+01
2.356378000000000128e+01,1.204778900000000021e+02,-2.238390092879257165e-01,1.000000000000000000e+00,3.584499999999999492e-02,5.709629629629629832e+00,6.100000000000000000e+01,2.989690402476779951e+01
2.356378000000000128e+01,1.204778900000000021e+02,3.299711815561959249e-02,1.000000000000000000e+00,3.734499999999999625e-02,5.848612716763005537e+00,6.100000000000000000e+01,2.981642651296829882e+01
2.356378000000000128e+01,1.204778900000000021e+02,6.694267515923567335e-02,1.000000000000000000e+00,3.884499999999999759e-02,5.299137380191693225e+00,6.100000000000000000e+01,2.973035031847133780e+01
2.356378000000000128e+01,1.204778900000000021e+02,1.439318885448916396e-01,1.000000000000000000e+00,4.034499999999999892e-02,5.133333333333332860e+00,2.634674922600619595e+01,2.951086956521739069e+01
2.356378000000000128e+01,1.204778900000000021e+02,3.139570552147239457e-01,1.000000000000000000e+00,4.184500000000000025e-02,5.118067484662576661e+00,4.300613496932515289e+01,2.949330275229358023e+01
2.356378000000000128e+01,1.204778900000000021e+02,4.292569659442724284e-01,1.000000000000000000e+00,4.334499999999999464e-02,5.264922600619195592e+00,5.000000000000000000e+01,2.953000000000000114e+01
2.356376169000000331e+01,1.204778716900000006e+02,6.043999999999999373e-01,1.000000000000000000e+00,-2.005090000000000483e-01,5.549384615384615138e+00,3.763076923076923208e+01,2.948153374233129043e+01
2.356376469000000284e+01,1.204778746899999931e+02,1.561353846153846092e+00,1.000000000000000000e+00,-1.588090000000000335e-01,7.533999999999999808e+00,5.824691358024691112e+01,2.939333333333333442e+01
2.356376769000000237e+01,1.204778776899999997e+02,3.798637770897832944e+00,1.000000000000000000e+00,-1.171090000000000186e-01,9.081574074074072911e+00,7.214814814814815236e+01,2.933999999999999986e+01
2.356379000000000090e+01,1.204778903450000200e+02,4.736840490797545655e+00,1.000000000000000000e+00,8.486400000000000887e-02,1.227339506172839556e+01,6.100000000000000000e+01,2.936339449541284452e+01
2.356379000000000090e+01,1.204778918450000162e+02,1.670185758513931917e+00,1.000000000000000000e+00,1.016640000000000182e-01,1.386441717791410966e+01,6.100000000000000000e+01,2.944801242236025018e+01
2.356379000000000090e+01,1.204778933450000125e+02,-6.332198142414857678e-01,1.000000000000000000e+00,1.184640000000000137e-01,7.001888544891641253e+00,5.344135802469136109e+01,2.954000000000000270e+01
2.356379000000000090e+01,1.204778948450000087e+02,-1.211234567901234627e+00,2.000000000000000000e+00,1.352639999999999953e-01,4.246307692307691894e+00,3.556748466257668895e+01,2.962303523035230413e+01
2.356379000000000090e+01,1.204778963450000049e+02,-1.726888489208633137e+00,2.000000000000000000e+00,1.520640000000000047e-01,5.903143438453713365e+00,6.289454545454545809e+01,2.969891598915989306e+01
2.356379000000000090e+01,1.204778978450000011e+02,-2.242176258992806037e+00,2.000000000000000000e+00,1.688640000000000141e-01,9.107619532044761712e+00,6.180363636363636459e+01,2.977479674796747844e+01
2.356379000000000090e+01,1.204778993450000115e+02,-2.757464028776978715e+00,2.000000000000000000e+00,1.856639999999999957e-01,1.231209562563580917e+01,6.071272727272727110e+01,2.985067750677506737e+01
