pickup_datetime,lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,gearTime,HeartTime,GyroTime,RateTime,PressureTime,TempTime
2021-3-20 14:0:11,23.5617,120.4776,1.9466666666666665,1,5.485,22.95,129.0,29.53,50413,50413,50412,50411,50412,50413
2021-3-20 14:0:16,23.5617,120.4776,-1.08,3,10.870000000000001,6.585,129.0,29.34,50417,50417,50415,50415,50415,50417
2021-3-20 14:0:20,23.5617,120.4776,-3.28,1,12.14,5.02,130.0,29.25,50419,50419,50419,50419,50419,50419
2021-3-20 14:0:25,23.5617,120.47758,-5.32,1,14.15,22.096666666666668,96.0,29.43,50426,50426,50425,50424,50425,50426
2021-3-20 14:0:30,23.5617,120.4775,-4.788,1,15.67,12.378,102.0,29.34,50430,50430,50428,50428,50428,50430
2021-3-20 14:0:33,23.5617,120.477475,0.32666666666666677,1,16.01,17.036666666666665,98.0,29.25,50434,50434,50433,50432,50433,50434
2021-3-20 14:0:37,23.5617,120.4774,-1.0933333333333333,1,14.576666666666666,5.57,128.0,29.16,50438,50438,50436,50436,50436,50438
2021-3-20 14:0:39,23.5617,120.4774,-1.02,1,13.69,5.36,129.0,29.16,50439,50439,50439,50439,50439,50439
2021-3-20 14:0:42,23.5617,120.4774,-5.3,1,14.24,5.43,129.0,29.53,50441,50441,50441,50441,50441,50441
2021-3-20 14:0:46,23.561725,120.4774,-0.7849999999999997,1,13.395,5.61,128.0,29.9,50447,50447,50445,50445,50445,50447
2021-3-20 14:0:50,23.5618,120.4774,-2.295,1,12.555,6.26,128.0,29.8,50451,50451,50449,50449,50449,50451
2021-3-20 14:0:54,23.561925000000002,120.477275,0.30333333333333323,1,11.79,9.026666666666667,128.0,29.62,50455,50455,50453,50453,50453,50455
2021-3-20 14:0:58,23.56234,120.4769,-2.3499999999999996,3,12.375,9.953333333333333,89.0,29.71,50460,50460,50459,50458,50459,50460
2021-3-20 14:1:3,23.5624,120.4769,-2.5149999999999997,3,13.415,6.765000000000001,128.0,29.71,50464,50464,50462,50462,50462,50464
2021-3-20 14:1:7,23.5626,120.477,-0.8600000000000001,3,13.956666666666667,6.696666666666667,95.0,29.53,50468,50468,50466,50466,50466,50468
2021-3-20 14:1:10,23.562966666666664,120.4772,-1.55,3,14.0,6.45,95.0,29.16,50469,50469,50469,50469,50469,50469
2021-3-20 14:1:13,23.5631,120.47723333333333,0.11666666666666664,3,14.063333333333333,7.473333333333334,129.0,28.97,50475,50475,50473,50473,50473,50475
2021-3-20 14:1:19,23.5631,120.4773,0.48199999999999993,3,13.55,7.468,128.0,28.7,50483,50483,50479,50479,50479,50483
2021-3-20 14:1:25,23.56315,120.4773,-0.52,3,14.028,7.18,131.0,28.61,50487,50487,50484,50484,50484,50487
2021-3-20 14:1:29,23.5632,120.47733333333333,-1.3925,3,14.24,6.657500000000001,131.0,28.61,50491,50491,50490,50489,50490,50491
2021-3-20 14:1:35,23.563266666666667,120.4774,-0.3275,3,14.26,24.395000000000003,130.0,28.61,50497,50497,50494,50494,50494,50497
2021-3-20 14:1:38,23.5633,120.4774,-0.33,3,14.12,30.35,130.0,28.7,50498,50498,50498,50497,50498,50498
2021-3-20 14:1:41,23.563050000000004,120.47720000000001,1.36,3,13.84,6.18,130.0,28.97,50500,50500,50500,50500,50500,50500
2021-3-20 14:1:43,23.5638,120.4778,-2.94,2,15.01,6.18,130.0,29.16,50503,50503,50503,50503,50503,50503
2021-3-20 14:1:49,23.5639,120.47782000000001,-1.03,1,18.419999999999998,6.26,93.0,29.62,50510,50510,50509,50508,50509,50510
2021-3-20 14:1:56,23.563866666666666,120.4779,-2.08,1,22.15,4.75,76.0,29.34,50515,50515,50515,50515,50515,50515
2021-3-20 14:1:59,23.564,120.4779,-3.4266666666666667,1,22.60333333333333,5.2299999999999995,128.0,29.16,50521,50521,50519,50519,50519,50521
2021-3-20 14:2:3,23.56405,120.4779,-5.843333333333334,1,19.496666666666666,4.773333333333333,128.0,29.07,50524,50524,50522,50522,50522,50524
2021-3-20 14:2:5,23.5641,120.4779,-7.45,1,18.0,4.49,128.0,29.07,50525,50525,50525,50525,50525,50525
2021-3-20 14:2:9,23.56425,120.477625,0.49499999999999966,1,14.295,7.34,122.0,29.07,50530,50530,50528,50528,50528,50530
2021-3-20 14:2:13,23.5647,120.4768,4.345,6,13.285833333333333,9.2625,70.0,28.88,50533,50533,50532,50532,50532,50533
2021-3-20 14:2:28,23.5647,120.4768,-1.05,6,9.05,4.79,128.0,29.16,50547,50547,50547,50547,50547,50547
2021-3-20 14:2:32,23.5647,120.4768,1.65,6,3.92,16.04,128.0,29.16,50552,50552,50552,50552,50552,50552
2021-3-20 14:2:37,23.5647,120.47676666666666,-0.96,6,10.046666666666667,10.43,67.0,29.25,50558,50558,50556,50556,50556,50558
2021-3-20 14:2:40,23.5647,120.4767,-1.58,6,10.3,10.11,67.0,29.25,50559,50559,50559,50559,50559,50559
2021-3-20 14:2:45,23.56442,120.47706,-4.232,6,9.530000000000001,8.264,128.0,29.25,50567,50567,50564,50564,50564,50567
2021-3-20 14:2:50,23.564,120.47763333333333,0.026666666666666394,6,9.216666666666667,11.973333333333333,128.0,29.62,50571,50571,50569,50569,50569,50571
2021-3-20 14:2:53,23.564,120.4777,3.22,6,9.29,13.69,130.0,29.8,50572,50572,50572,50572,50572,50572
2021-3-20 14:2:57,23.564,120.4777,1.424,6,10.018,10.028,128.0,29.62,50579,50579,50577,50577,50577,50579
2021-3-20 14:3:3,23.564,120.4777,0.29428571428571426,5,9.978571428571428,8.222857142857142,128.0,29.34,50585,50585,50582,50582,50582,50585
2021-3-20 14:3:9,23.5639,120.4778,1.03,5,12.775,7.904999999999999,128.0,29.53,50592,50592,50589,50589,50589,50592
2021-3-20 14:3:12,23.5639,120.4778,0.72,5,11.9,8.03,127.0,29.62,50591,50591,50591,50591,50591,50591
2021-3-20 14:3:16,23.5639,120.4778,-0.16399999999999998,5,11.774000000000001,7.178,58.0,29.53,50597,50597,50595,50595,50595,50597
2021-3-20 14:3:20,23.563660000000002,120.47796,0.22333333333333333,5,12.053333333333335,7.533333333333333,127.0,29.71,50602,50602,50600,50600,50600,50602
2021-3-20 14:3:25,23.5633,120.4782,0.375,5,11.835,8.17,129.0,29.71,50605,50605,50603,50603,50603,50605
