lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
2.356144709000000148e+01,1.204776499999999970e+02,-2.069898477157360084e+00,1.000000000000000000e+00,1.446029999999999816e-01,1.530830324909747464e+00,5.813604060913705496e+01,3.148000000000000043e+01
2.356146999999999991e+01,1.204776499999999970e+02,-1.500355329949238481e+00,1.000000000000000000e+00,9.289200000000001622e-02,2.191480144404332364e+00,3.590253807106599027e+01,3.148000000000000043e+01
2.356146999999999991e+01,1.204776499999999970e+02,-5.566366366366366503e-01,1.000000000000000000e+00,8.929200000000001025e-02,2.936216216216216424e+00,1.366903553299492557e+01,3.148000000000000043e+01
2.356146999999999991e+01,1.204776499999999970e+02,1.361081081081081168e+00,1.000000000000000000e+00,8.569200000000001816e-02,3.976756756756756772e+00,9.000000000000000000e+00,3.148000000000000043e+01
2.356146999999999991e+01,1.204776499999999970e+02,7.224388059701492004e+00,1.000000000000000000e+00,8.209200000000001218e-02,4.607387387387387179e+00,2.431531531531531343e+01,3.152791666666666615e+01
2.356146999999999991e+01,1.204776499999999970e+02,2.478915662650601703e+00,1.000000000000000000e+00,7.849200000000000621e-02,4.549791044776119620e+00,4.522985074626866009e+01,3.154234939759036038e+01
2.356146999999999991e+01,1.204776499999999970e+02,-1.907373493975903500e+01,1.000000000000000000e+00,7.489200000000001411e-02,3.426404833836858010e+00,5.927710843373493788e+01,3.150801204819277146e+01
2.356146999999999991e+01,1.204776499999999970e+02,-8.616876876876876423e+00,1.000000000000000000e+00,7.129200000000000814e-02,4.089638554216866950e+00,6.274698795180722755e+01,3.157999999999999829e+01
2.356146999999999991e+01,1.204776499999999970e+02,-6.231711711711711565e+00,1.000000000000000000e+00,6.958299999999999208e-02,4.593513513513514113e+00,6.000000000000000000e+01,3.157129129129128842e+01
2.356146999999999991e+01,1.204776499999999970e+02,-5.447927927927928238e+00,1.000000000000000000e+00,6.568299999999999139e-02,4.875575221238938717e+00,6.000000000000000000e+01,3.148120120120120191e+01
2.356146999999999991e+01,1.204776499999999970e+02,-4.660648967551622945e+00,1.000000000000000000e+00,6.178299999999999764e-02,5.005855855855855907e+00,6.000000000000000000e+01,3.156731563421828923e+01
2.356147995499999936e+01,1.204776400449999869e+02,-4.128185975609755864e+00,1.000000000000000000e+00,-1.004015000000000046e-01,5.465609756097561167e+00,3.207207207207207489e+01,3.161525914634146162e+01
2.356147845499999960e+01,1.204776415449999973e+02,-3.666295731707316818e+00,1.000000000000000000e+00,-8.045150000000000912e-02,6.050975609756097384e+00,4.161737804878048763e+01,3.165641768292682912e+01
2.356147695499999983e+01,1.204776430449999935e+02,-2.679069069069068831e+00,1.000000000000000000e+00,-6.050149999999999972e-02,6.766036036036036094e+00,5.579420731707317316e+01,3.161567567567567494e+01
2.356147545500000007e+01,1.204776445449999898e+02,-1.152582582582582615e+00,1.000000000000000000e+00,-4.055150000000000421e-02,8.488918918918919587e+00,6.000000000000000000e+01,3.162540540540540590e+01
2.356147395500000030e+01,1.204776460450000002e+02,5.224397590361447019e-01,1.000000000000000000e+00,-2.060150000000000176e-02,8.157327327327328348e+00,6.000000000000000000e+01,3.167000000000000171e+01
2.356147245500000054e+01,1.204776475449999964e+02,2.602469879518072293e+00,1.000000000000000000e+00,-6.514999999999993019e-04,6.119156626506024210e+00,6.000000000000000000e+01,3.167000000000000171e+01
2.356147095500000077e+01,1.204776490449999926e+02,5.207138554216867554e+00,1.000000000000000000e+00,1.929849999999999968e-02,2.024857142857142733e+01,6.000000000000000000e+01,3.167000000000000171e+01
2.356147890999999817e+01,1.204776789100000087e+02,3.688456973293768648e+00,1.000000000000000000e+00,-3.001859999999999529e-01,1.690928571428571558e+01,5.902670623145400697e+01,3.167000000000000171e+01
2.356147590999999863e+01,1.204776759100000021e+02,-3.975964391691393374e-01,1.000000000000000000e+00,-2.263859999999999484e-01,7.106867469879517785e+00,5.600000000000000000e+01,3.166945945945946050e+01
2.356147290999999910e+01,1.204776729100000097e+02,1.364834834834835142e+00,1.000000000000000000e+00,-1.525859999999999717e-01,4.241981981981981953e+00,5.643243243243243512e+01,3.158837837837837625e+01
2.356145000000000067e+01,1.204776499999999970e+02,1.616084337349397604e+00,1.000000000000000000e+00,3.283734999999999848e-01,4.094879518072288782e+00,6.724324324324324209e+01,3.165270270270270458e+01
2.356145000000000067e+01,1.204776499999999970e+02,4.829551820728290590e-01,2.000000000000000000e+00,3.408234999999999459e-01,4.820139860139859955e+00,6.127710843373493788e+01,3.165512605042016858e+01
2.356145000000000067e+01,1.204776499999999970e+02,-1.033851540616246512e+00,2.000000000000000000e+00,3.532734999999999626e-01,4.692167832167831953e+00,6.328181818181818130e+01,3.163621848739495945e+01
2.356145000000000067e+01,1.204776499999999970e+02,-2.550658263305321860e+00,2.000000000000000000e+00,3.657234999999999792e-01,4.564195804195803952e+00,6.726783216783216801e+01,3.161731092436974677e+01
2.356145000000000067e+01,1.204776499999999970e+02,-4.067464985994398319e+00,2.000000000000000000e+00,3.781734999999999403e-01,4.436223776223775950e+00,7.125384615384615472e+01,3.159840336134453764e+01
2.356145000000000067e+01,1.204776499999999970e+02,-5.584271708683473889e+00,2.000000000000000000e+00,3.906234999999999569e-01,4.308251748251748836e+00,7.523986013986014143e+01,3.158213017751479157e+01
2.356145000000000067e+01,1.204776499999999970e+02,-4.614082840236686245e+00,2.000000000000000000e+00,4.030734999999999735e-01,4.138461538461538858e+00,7.758753709198812487e+01,3.166201183431952870e+01
2.356146890999999854e+01,1.204776499999999970e+02,-2.610958083832335408e+00,2.000000000000000000e+00,1.611839999999998829e-01,5.823573573573574080e+00,5.266172106824926402e+01,3.167000000000000171e+01
2.356146590999999901e+01,1.204776499999999970e+02,-1.897590361445766760e-03,2.000000000000000000e+00,2.139839999999998965e-01,1.011807228915662726e+01,6.697597597597598451e+01,3.160594594594594398e+01
2.356146290999999948e+01,1.204776499999999970e+02,4.681626506024096912e-01,2.000000000000000000e+00,2.667839999999999101e-01,8.650722891566264394e+00,5.437650602409638623e+01,3.163530120481927810e+01
2.356144995500000050e+01,1.204776499999999970e+02,2.610843373493976216e-01,2.000000000000000000e+00,5.495444999999999913e-01,4.625407854984894485e+00,6.653776435045317328e+01,3.162323262839879234e+01
2.356144845500000073e+01,1.204776499999999970e+02,4.599099099099098753e-01,2.000000000000000000e+00,5.676944999999999908e-01,2.962492492492492246e+00,6.715915915915915946e+01,3.157999999999999829e+01
2.356144695500000097e+01,1.204776499999999970e+02,2.667619047619047112e+00,2.000000000000000000e+00,5.858444999999999903e-01,1.373904624277456676e+01,6.000000000000000000e+01,3.157999999999999829e+01
2.356144545500000120e+01,1.204776499999999970e+02,9.321289398280802274e+00,2.000000000000000000e+00,6.039944999999999897e-01,1.209188571428571457e+01,4.960795454545454675e+01,3.155936962750716290e+01
2.356144395500000144e+01,1.204776499999999970e+02,6.030495626822157895e+00,2.000000000000000000e+00,6.221444999999999892e-01,5.123314285714286598e+00,3.458017492711370267e+01,3.148670553935859928e+01
2.356144245500000167e+01,1.204776499999999970e+02,3.179183673469387461e+00,2.000000000000000000e+00,6.402944999999999887e-01,7.099067055393586401e+00,5.719533527696793129e+01,3.157416909620991063e+01
2.356144095500000191e+01,1.204776499999999970e+02,1.534616541353383212e+00,2.000000000000000000e+00,6.584444999999999881e-01,7.345000000000000639e+00,4.669970845481049082e+01,3.150023988005996856e+01
2.356144891000000641e+01,1.204776499999999970e+02,8.649624060150351568e-02,2.000000000000000000e+00,5.924450000000001104e-01,5.845000000000000639e+00,6.264634146341462895e+01,3.141478260869565275e+01
2.356144591000000688e+01,1.204776499999999970e+02,-7.371771771771771231e-01,2.000000000000000000e+00,6.239450000000000829e-01,5.393614457831325204e+00,8.048170731707317316e+01,3.151189759036144622e+01
2.356144291000000379e+01,1.204776499999999970e+02,-9.934328358208954768e-01,2.000000000000000000e+00,6.554450000000000554e-01,5.727826086956521401e+00,4.519277108433735179e+01,3.152548192771084246e+01
2.356142995499999770e+01,1.204776599550000071e+02,-2.510263157894736530e+00,2.000000000000000000e+00,6.968999999999999639e-01,8.484347826086956701e+00,4.325217391304347814e+01,3.152318840579710013e+01
2.356142845499999794e+01,1.204776584549999967e+02,-4.533947368421053170e+00,2.000000000000000000e+00,7.268999999999999906e-01,4.058826979472140550e+00,6.645614035087719174e+01,3.154959064327485407e+01
2.356142695499999817e+01,1.204776569550000005e+02,-2.724502923976608315e+00,2.000000000000000000e+00,7.568999999999999062e-01,8.149766081871344880e+00,7.255263157894736992e+01,3.148000000000000043e+01
2.356142545499999841e+01,1.204776554550000043e+02,-1.952573099415204627e+00,2.000000000000000000e+00,7.868999999999999329e-01,8.575789473684210407e+00,5.763157894736841769e+01,3.148584795321637486e+01
2.356142395499999864e+01,1.204776539549999939e+02,-4.441666666666666430e+00,2.000000000000000000e+00,8.168999999999999595e-01,5.142222222222222250e+00,5.544736842105263008e+01,3.157356725146198784e+01
2.356142245499999888e+01,1.204776524549999976e+02,-5.371111111111110503e+00,2.000000000000000000e+00,8.468999999999999861e-01,6.299649122807017498e+00,4.755263157894736992e+01,3.149871345029239933e+01
2.356142095499999911e+01,1.204776509550000014e+02,-5.863909774436089961e+00,2.000000000000000000e+00,8.769000000000000128e-01,7.015735294117646959e+00,7.310526315789473983e+01,3.148000000000000043e+01
2.356142890999999651e+01,1.204776589099999740e+02,-6.287969924812029987e+00,2.000000000000000000e+00,6.761980000000000768e-01,4.644411764705882462e+00,6.153684210526316178e+01,3.148000000000000043e+01
2.356142590999999697e+01,1.204776559099999815e+02,-7.387323943661971981e+00,2.000000000000000000e+00,7.427980000000000693e-01,3.136760563380281752e+00,3.943157894736842195e+01,3.152831460674157071e+01
2.356142290999999744e+01,1.204776529099999749e+02,-9.280555555555555003e+00,2.000000000000000000e+00,8.093980000000000619e-01,6.665894428152492779e+00,3.775211267605634191e+01,3.157999999999999829e+01
2.356141990999999791e+01,1.204776399550000150e+02,-1.135994152046783690e+01,2.000000000000000000e+00,1.127859500000000237e+00,5.371169590643274816e+00,4.942105263157894512e+01,3.157999999999999829e+01
2.356141690999999838e+01,1.204776384550000046e+02,-1.298149122807017619e+01,2.000000000000000000e+00,1.156509500000000301e+00,6.888713450292397233e+00,6.038596491228069851e+01,3.157999999999999829e+01
