lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
2.356092999999999904e+01,1.204768799999999942e+02,-8.078909090909091262e+00,1.000000000000000000e+00,7.718899999999999373e-02,1.746504559270516954e-01,3.100000000000000000e+01,3.320000000000000284e+01
2.356092999999999904e+01,1.204768799999999942e+02,-7.891041009463722666e+00,1.000000000000000000e+00,7.763899999999999968e-02,9.867507886435331055e-02,3.100000000000000000e+01,3.337311111111111472e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.585555555555555607e+00,1.000000000000000000e+00,7.808900000000000563e-02,1.641000000000000014e+00,1.690476190476190510e+01,3.322645569620253525e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.494076433121018788e+00,1.000000000000000000e+00,7.853899999999999770e-02,3.683806451612903210e+00,5.179617834394904463e+01,3.328152866242037788e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.529303797468354098e+00,1.000000000000000000e+00,7.898900000000000365e-02,3.266952380952381052e+00,6.951898734177214578e+01,3.329999999999999716e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.439777777777777601e+00,1.000000000000000000e+00,7.943899999999999573e-02,3.486190476190476062e+00,5.686031746031746081e+01,3.329999999999999716e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.349999999999999645e+00,1.000000000000000000e+00,7.988900000000000168e-02,3.807034700315457432e+00,7.161198738170347156e+01,3.323322784810126507e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.425350318471338085e+00,1.000000000000000000e+00,8.832200000000001161e-02,4.772547770700636960e+00,6.753821656050955369e+01,3.326190476190475920e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.506751592356688541e+00,1.000000000000000000e+00,8.742200000000001359e-02,5.609245283018867489e+00,6.300000000000000000e+01,3.329999999999999716e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.573860759493671324e+00,1.000000000000000000e+00,8.652200000000000168e-02,6.547051282051281618e+00,5.514240506329113600e+01,3.324730158730158536e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.703503184713375695e+00,1.000000000000000000e+00,7.718899999999999373e-02,6.288853503184713034e+00,5.724522292993630401e+01,3.324793650793650812e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.829745222929935800e+00,1.000000000000000000e+00,7.763899999999999968e-02,5.876666666666666927e+00,7.271111111111110858e+01,3.325668789808916870e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.898050314465408839e+00,1.000000000000000000e+00,7.808900000000000563e-02,5.729746835443037867e+00,7.414556962025316977e+01,3.320000000000000284e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.978789808917197135e+00,1.000000000000000000e+00,7.853899999999999770e-02,5.921075949367088143e+00,6.417460317460317754e+01,3.323354430379747271e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.019746835443037902e+00,1.000000000000000000e+00,7.898900000000000365e-02,5.862000000000000099e+00,6.227215189873417955e+01,3.327142857142857224e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.068152866242038534e+00,1.000000000000000000e+00,7.943899999999999573e-02,5.640955414012738700e+00,5.784713375796178525e+01,3.322380952380952834e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.033757961783439150e+00,1.000000000000000000e+00,7.988900000000000168e-02,5.465968253968254587e+00,6.020382165605095537e+01,3.328089171974522031e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.107848101265823004e+00,1.000000000000000000e+00,7.413000000000001533e-02,5.336126984126983608e+00,7.713607594936708267e+01,3.318539682539682900e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.093987341772152178e+00,1.000000000000000000e+00,7.563000000000001666e-02,5.118222222222222229e+00,5.611111111111111427e+01,3.311962025316455538e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.159171974522292814e+00,1.000000000000000000e+00,7.713000000000001799e-02,4.984888888888889369e+00,8.056962025316455822e+01,3.329999999999999716e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.034968152866242441e+00,1.000000000000000000e+00,1.020549999999999929e-01,5.046666666666666856e+00,5.267515923566878655e+01,3.329999999999999716e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.185428571428571942e+00,1.000000000000000000e+00,9.980499999999999095e-02,5.201910828025477329e+00,8.429936305732483959e+01,3.329999999999999716e+01
2.356092999999999904e+01,1.204768799999999942e+02,-6.217388535031846963e+00,1.000000000000000000e+00,9.755499999999998895e-02,5.069777777777777494e+00,6.328025477707006274e+01,3.329999999999999716e+01
2.356092999999999904e+01,1.204768799999999942e+02,-5.113512658227848284e+00,1.000000000000000000e+00,9.530500000000000083e-02,6.034730158730158500e+00,6.300000000000000000e+01,3.337742857142857389e+01
2.356092999999999904e+01,1.204768799999999942e+02,-2.579299363057324879e+00,1.000000000000000000e+00,9.305499999999999883e-02,7.264825396825396631e+00,6.300000000000000000e+01,3.339000000000000057e+01
