lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
2.356267000000000067e+01,1.204787199999999956e+02,1.357570093457943772e+00,1.000000000000000000e+00,1.583559999999999968e-01,1.839062499999999933e-01,6.800000000000000000e+01,3.157437499999999986e+01
2.356267000000000067e+01,1.204787199999999956e+02,1.308350730688935259e+00,1.000000000000000000e+00,1.592560000000000087e-01,3.169343065693430717e-01,6.800000000000000000e+01,3.160646506777893450e+01
2.356267000000000067e+01,1.204787199999999956e+02,1.226931106471816246e+00,1.000000000000000000e+00,1.601559999999999928e-01,5.703232533889468492e-01,7.266597077244259140e+01,3.163461939520333743e+01
2.356267000000000067e+01,1.204787199999999956e+02,1.145511482254697455e+00,1.000000000000000000e+00,1.610560000000000047e-01,8.237122002085506267e-01,7.736325678496868363e+01,3.166277372262774037e+01
2.356267000000000067e+01,1.204787199999999956e+02,1.126437499999999980e+00,1.000000000000000000e+00,1.619560000000000166e-01,1.518812500000000121e+00,8.206054279749477587e+01,3.167000000000000171e+01
2.356267000000000067e+01,1.204787199999999956e+02,1.095124999999999904e+00,1.000000000000000000e+00,1.628560000000000008e-01,4.055015479876161066e+00,8.300000000000000000e+01,3.167000000000000171e+01
2.356267000000000067e+01,1.204787374799999782e+02,1.070000000000000062e+00,1.000000000000000000e+00,1.567640000000000422e-01,5.844132492113564226e+00,4.524137931034482563e+01,3.172736677115987547e+01
2.356267000000000067e+01,1.204787344799999858e+02,1.070000000000000062e+00,1.000000000000000000e+00,1.588640000000000330e-01,7.987718749999999979e+00,2.800000000000000000e+01,3.176999999999999957e+01
2.356267000000000067e+01,1.204787314799999791e+02,9.361250000000000959e-01,1.000000000000000000e+00,1.609640000000000237e-01,8.464326018808776553e+00,2.912225705329153769e+01,3.172517241379310349e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.538125000000000187e-01,1.000000000000000000e+00,1.843159999999999799e-01,7.474953271028037527e+00,5.641744548286604299e+01,3.167000000000000171e+01
2.356267000000000067e+01,1.204787100000000066e+02,5.886875000000000302e-01,1.000000000000000000e+00,1.829659999999999620e-01,6.253343749999999091e+00,8.300000000000000000e+01,3.167000000000000171e+01
2.356267000000000067e+01,1.204787100000000066e+02,8.114374999999999227e-01,1.000000000000000000e+00,1.816159999999999719e-01,7.985356037151703390e+00,8.300000000000000000e+01,3.167000000000000171e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.983125000000000027e-01,1.000000000000000000e+00,1.802659999999999818e-01,8.647742946708463663e+00,8.300000000000000000e+01,3.165222570532915469e+01
2.356267000000000067e+01,1.204787100000000066e+02,4.630000000000000226e-01,1.000000000000000000e+00,1.789159999999999917e-01,7.265420560747663181e+00,6.580373831775700921e+01,3.156629283489096593e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.081250000000000266e-01,1.000000000000000000e+00,1.775659999999999739e-01,7.069158878504672394e+00,2.676175548589341702e+01,3.148000000000000043e+01
2.356267000000000067e+01,1.204787100000000066e+02,5.143750000000000266e-01,1.000000000000000000e+00,1.762159999999999838e-01,6.871724137931034093e+00,8.038317757009345144e+01,3.148000000000000043e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.708749999999999991e-01,1.000000000000000000e+00,1.652520000000000100e-01,7.033749999999999503e+00,6.200000000000000000e+01,3.148000000000000043e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.068749999999999423e-01,1.000000000000000000e+00,1.655520000000000047e-01,6.471128526645768098e+00,6.200000000000000000e+01,3.140015673981191213e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.130624999999999547e-01,1.000000000000000000e+00,1.658519999999999994e-01,6.183426791277258694e+00,3.115887850467289866e+01,3.139000000000000057e+01
2.356267000000000067e+01,1.204787100000000066e+02,5.493749999999999467e-01,1.000000000000000000e+00,1.670760000000000023e-01,5.733793103448276085e+00,6.573354231974921902e+01,3.139000000000000057e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.165625000000000133e-01,1.000000000000000000e+00,1.672260000000000135e-01,5.400965732087227522e+00,7.100000000000000000e+01,3.139000000000000057e+01
2.356267000000000067e+01,1.204787100000000066e+02,6.467500000000000471e-01,1.000000000000000000e+00,1.673759999999999970e-01,5.558965517241379217e+00,4.103134796238244064e+01,3.139000000000000057e+01
2.356267000000000067e+01,1.204787100000000066e+02,5.988749999999999352e-01,1.000000000000000000e+00,1.675260000000000082e-01,5.769156249999999986e+00,5.224610591900311363e+01,3.139000000000000057e+01
2.356267000000000067e+01,1.204787100000000066e+02,5.061249999999999361e-01,1.000000000000000000e+00,1.676760000000000195e-01,5.823197492163009414e+00,6.200000000000000000e+01,3.134401253918495200e+01
2.356267000000000067e+01,1.204787100000000066e+02,8.232727272727272672e-01,1.000000000000000000e+00,1.678260000000000030e-01,5.997499999999999609e+00,6.091238670694863799e+01,3.133915407854984991e+01
2.356267000000000067e+01,1.204787100000000066e+02,2.349107692307692119e+00,1.000000000000000000e+00,1.679760000000000142e-01,4.681666666666666643e+00,6.092546583850931796e+01,3.139000000000000057e+01
2.356267000000000067e+01,1.204787100000000066e+02,5.324218750000000000e+00,1.000000000000000000e+00,1.690000000000000113e-01,3.065968750000000131e+00,6.160681114551083937e+01,3.141475000000000151e+01
2.356267000000000067e+01,1.204787100000000066e+02,1.182902821316614350e+01,1.000000000000000000e+00,1.690000000000000113e-01,1.694000000000000128e+01,5.319435736677115756e+01,3.149473354231975009e+01
2.356267000000000067e+01,1.204787100000000066e+02,4.949158878504673176e+00,1.000000000000000000e+00,1.690000000000000113e-01,1.625192660550458612e+01,3.538629283489096622e+01,3.157127725856697609e+01
2.356267000000000067e+01,1.204787100000000066e+02,4.108037383177570057e+00,1.000000000000000000e+00,1.690000000000000113e-01,6.808051118210862285e+00,5.353750000000000142e+01,3.148000000000000043e+01
2.356267000000000067e+01,1.204787100000000066e+02,-2.849283489096572808e+00,1.000000000000000000e+00,1.690000000000000113e-01,4.017500000000000071e+00,5.864797507788161823e+01,3.148000000000000043e+01
