lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
2.356278999999999968e+01,1.204785384599999958e+02,-2.126984126984126977e+00,1.000000000000000000e+00,4.915400000000000325e-02,5.422151898734176578e-01,6.100000000000000000e+01,3.148000000000000043e+01
2.356278999999999968e+01,1.204785600000000017e+02,-1.678571428571428603e+00,1.000000000000000000e+00,5.163500000000000034e-02,5.679999999999999494e-01,6.100000000000000000e+01,3.157111111111110802e+01
2.356278999999999968e+01,1.204785600000000017e+02,-1.543968253968253990e+00,1.000000000000000000e+00,5.088499999999999968e-02,2.469108280254777021e-01,6.100000000000000000e+01,3.149337579617834493e+01
2.356278999999999968e+01,1.204785600000000017e+02,-1.553407643312102016e+00,1.000000000000000000e+00,5.013499999999999901e-02,3.171337579617834468e-01,6.100000000000000000e+01,3.156190476190475991e+01
2.356278999999999968e+01,1.204785600000000017e+02,-1.925506329113924053e+00,1.000000000000000000e+00,4.938499999999999834e-02,9.697468354430379689e-01,6.100000000000000000e+01,3.157999999999999829e+01
2.356278999999999968e+01,1.204785600000000017e+02,-1.888821656050955422e+00,1.000000000000000000e+00,4.863499999999999768e-02,2.869426751592356606e+00,1.926751592356687581e+01,3.157999999999999829e+01
2.356278999999999968e+01,1.204785600000000017e+02,-1.829203821656051110e+00,1.000000000000000000e+00,4.788499999999999701e-02,4.542507936507936606e+00,4.462420382165605304e+01,3.151216560509553943e+01
2.356278999999999968e+01,1.204785600000000017e+02,-1.952436708860759484e+00,1.000000000000000000e+00,4.713500000000000328e-02,4.646507936507936698e+00,6.734177215189873777e+01,3.154317460317460231e+01
2.356278999999999968e+01,1.204785424599999999e+02,-1.490859872611464798e+00,1.000000000000000000e+00,4.550800000000000678e-02,4.878730158730158806e+00,6.140127388535032082e+01,3.157999999999999829e+01
2.356278999999999968e+01,1.204785454599999923e+02,-1.221153846153846034e+00,1.000000000000000000e+00,4.490800000000000347e-02,5.585833333333333428e+00,7.201269841269841265e+01,3.152583333333333115e+01
2.356278999999999968e+01,1.204785484599999990e+02,-1.404603174603174409e+00,1.000000000000000000e+00,4.430800000000000710e-02,5.345873015873015888e+00,7.282051282051281760e+01,3.153000000000000114e+01
2.356278999999999968e+01,1.204785700000000048e+02,-1.414140127388535007e+00,1.000000000000000000e+00,2.424100000000000213e-02,5.338095238095237782e+00,6.440445859872610868e+01,3.157999999999999829e+01
2.356278999999999968e+01,1.204785700000000048e+02,-1.416305732484076430e+00,1.000000000000000000e+00,2.679099999999999884e-02,5.052380952380952195e+00,6.300000000000000000e+01,3.157999999999999829e+01
2.356278999999999968e+01,1.204785700000000048e+02,-1.613999999999999879e+00,1.000000000000000000e+00,2.934099999999999903e-02,5.346285714285714974e+00,4.761783439490445602e+01,3.157999999999999829e+01
2.356278999999999968e+01,1.204785700000000048e+02,-2.048285714285714487e+00,1.000000000000000000e+00,3.189100000000000268e-02,5.245095541401274097e+00,4.532063492063491594e+01,3.157999999999999829e+01
