lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,Time
2.356274000000000157e+01,1.204786900000000003e+02,-1.488091772151898695e+01,1.000000000000000000e+00,6.500000000000000222e-02,8.000000000000000167e-02,1.800000000000000000e+01,2.962000000000000099e+01,6.479157000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.445333333333333314e+01,1.000000000000000000e+00,6.500000000000000222e-02,8.000000000000000167e-02,1.800000000000000000e+01,2.953800000000000026e+01,6.479187000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.413670886075949440e+01,1.000000000000000000e+00,6.317000000000000393e-02,8.000000000000000167e-02,1.800000000000000000e+01,2.960771428571428743e+01,6.479217000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.407222929936305711e+01,1.000000000000000000e+00,6.346999999999999864e-02,9.464968152866241879e-02,1.800000000000000000e+01,2.954657142857142915e+01,6.479247000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.393719901719901699e+01,2.000000000000000000e+00,6.377000000000000723e-02,1.137579617834394985e-01,1.800000000000000000e+01,2.953000000000000114e+01,6.479277000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.376398034398034298e+01,2.000000000000000000e+00,6.793000000000000427e-02,1.328662420382165643e-01,1.800000000000000000e+01,2.953000000000000114e+01,6.479307000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.362234920634920599e+01,2.000000000000000000e+00,6.763000000000000955e-02,8.805755395683453890e-02,1.800000000000000000e+01,2.953800000000000026e+01,6.479337000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.403936507936507816e+01,2.000000000000000000e+00,6.733000000000000096e-02,7.044303797468355610e-02,1.646815286624203978e+01,2.962000000000000099e+01,6.479367000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.384888888888888836e+01,1.000000000000000000e+00,6.703000000000000624e-02,8.101910828025478406e-02,5.000000000000000000e+00,2.962000000000000099e+01,6.479397000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.365022118742724011e+01,1.000000000000000000e+00,6.672999999999999765e-02,9.213136729222519417e-02,5.000000000000000000e+00,2.962000000000000099e+01,6.479427000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.345115250291036091e+01,1.000000000000000000e+00,6.643000000000000294e-02,9.615281501340482151e-02,5.000000000000000000e+00,2.962000000000000099e+01,6.479457000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.319099954566106270e+01,1.000000000000000000e+00,6.613000000000000822e-02,1.003166519043401234e-01,5.000000000000000000e+00,2.962085811577752636e+01,6.479487000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-7.924302589731939683e+00,1.000000000000000000e+00,6.400000000000000133e-02,1.441607617360496085e-01,1.345745405037440356e+01,2.965763450624290698e+01,6.479667000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-7.046519763743753551e+00,1.000000000000000000e+00,7.430000000000000493e-02,1.514681133746678399e-01,1.509121851599727648e+01,2.966376390465380197e+01,6.479697000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-6.168736937755564753e+00,1.000000000000000000e+00,7.130000000000000226e-02,1.587754650132860990e-01,1.672498298162015118e+01,2.966989330306470052e+01,6.479727000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-5.290954111767378620e+00,1.000000000000000000e+00,6.829999999999999960e-02,1.660828166519043303e-01,1.835874744724302232e+01,2.967602270147559551e+01,6.479757000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-4.413171285779192488e+00,1.000000000000000000e+00,6.529999999999999694e-02,1.733901682905225616e-01,1.999251191286589346e+01,2.968215209988649406e+01,6.479787000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-3.535388459791004578e+00,1.000000000000000000e+00,5.497999999999999415e-02,1.806975199291408485e-01,2.162627637848876816e+01,2.968828149829738905e+01,6.479817000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-2.657605633802816669e+00,1.000000000000000000e+00,5.317999999999999117e-02,1.880048715677590798e-01,2.326004084411163930e+01,2.969441089670828759e+01,6.479847000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.779822807814630536e+00,1.000000000000000000e+00,5.137999999999999512e-02,1.953122232063773112e-01,2.489380530973451400e+01,2.970054029511918259e+01,6.479877000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-9.020399818264426273e-01,1.000000000000000000e+00,3.993000000000000022e-02,2.026195748449955703e-01,2.652756977535738514e+01,2.970666969353008113e+01,6.479907000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-4.928481012658227911e-01,1.000000000000000000e+00,3.962999999999999856e-02,2.099269264836138293e-01,2.816133424098025984e+01,2.971000000000000085e+01,6.479937000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-8.749206349206348765e-01,1.000000000000000000e+00,3.932999999999999691e-02,5.400000000000000355e-01,2.946349206349206185e+01,2.971000000000000085e+01,6.479967000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.374840764331210163e+00,1.000000000000000000e+00,3.903000000000000219e-02,5.776249999999999440e-01,3.000000000000000000e+01,2.971000000000000085e+01,6.479997000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.537341772151898711e+00,1.000000000000000000e+00,3.873000000000000054e-02,5.877514792899407592e-01,3.000000000000000000e+01,2.971000000000000085e+01,6.480027000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-1.677324840764331304e+00,1.000000000000000000e+00,3.842999999999999888e-02,4.339024390243902407e-01,3.000000000000000000e+01,2.968800000000000239e+01,6.480057000000000000e+07
2.356274000000000157e+01,1.204786900000000003e+02,-2.433291139240506329e+00,1.000000000000000000e+00,3.812999999999999723e-02,2.005095541401273884e-01,2.615772870662460647e+01,2.962000000000000099e+01,6.480087000000000000e+07
2.356275830000000582e+01,1.204786900000000003e+02,-2.740857142857142659e+00,1.000000000000000000e+00,6.719999999999996809e-03,2.611111111111111271e-01,2.424840764331210252e+01,2.963314285714285745e+01,6.480117000000000000e+07
2.356275530000000629e+01,1.204786900000000003e+02,-2.488503184713375838e+00,1.000000000000000000e+00,1.151999999999999552e-02,1.050000000000000044e+00,5.442675159235668758e+01,2.970111464968152859e+01,6.480147000000000000e+07
2.356275230000000676e+01,1.204786900000000003e+02,-2.310474683544303964e+00,1.000000000000000000e+00,1.631999999999999770e-02,2.414761904761904887e+00,6.100000000000000000e+01,2.962000000000000099e+01,6.480177000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-2.338955696202531520e+00,1.000000000000000000e+00,3.366500000000000048e-02,4.262857142857143344e+00,6.100000000000000000e+01,2.962000000000000099e+01,6.480207000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-2.468853503184713194e+00,1.000000000000000000e+00,3.651499999999999885e-02,4.277428571428571580e+00,6.100000000000000000e+01,2.962000000000000099e+01,6.480237000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-2.620127388535031798e+00,1.000000000000000000e+00,3.936499999999999722e-02,2.789714285714285591e+00,6.100000000000000000e+01,2.962000000000000099e+01,6.480267000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-2.137760252365930480e+00,1.000000000000000000e+00,4.221500000000000252e-02,3.376908517350157624e+00,1.775709779179810255e+01,2.969775316455696412e+01,6.480297000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-2.566178343949044649e+00,1.000000000000000000e+00,4.506500000000000089e-02,3.659554140127388333e+00,1.500000000000000000e+01,2.963657142857142901e+01,6.480327000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-3.235141955835962424e+00,1.000000000000000000e+00,4.791499999999999926e-02,4.184493670886075378e+00,1.500000000000000000e+01,2.968892405063291307e+01,6.480357000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-3.195566037735849019e+00,1.000000000000000000e+00,5.076499999999999763e-02,5.655687499999999979e+00,1.500000000000000000e+01,2.971000000000000085e+01,6.480387000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-3.247675159235668740e+00,1.000000000000000000e+00,4.171999999999999320e-02,6.943674121405750910e+00,1.500000000000000000e+01,2.965076677316293896e+01,6.480417000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-3.660285714285714143e+00,1.000000000000000000e+00,4.651999999999999191e-02,6.317324840764331206e+00,4.817197452229299159e+01,2.967531847133757950e+01,6.480447000000000000e+07
2.356272999999999840e+01,1.204786900000000003e+02,-3.684476190476190460e+00,1.000000000000000000e+00,5.131999999999999063e-02,5.475999999999999979e+00,6.300000000000000000e+01,2.971000000000000085e+01,6.480477000000000000e+07
2.356273964999999748e+01,1.204786900000000003e+02,-3.571677215189873245e+00,1.000000000000000000e+00,7.541999999999998705e-02,5.212793650793651423e+00,6.300000000000000000e+01,2.975657142857143000e+01,6.480507000000000000e+07
2.356273814999999772e+01,1.204786900000000003e+02,-3.542515923566878833e+00,1.000000000000000000e+00,7.721999999999998310e-02,5.990506329113923556e+00,3.999363057324841009e+01,2.971542857142857130e+01,6.480537000000000000e+07
2.356273664999999795e+01,1.204786900000000003e+02,-3.232050473186119710e+00,1.000000000000000000e+00,7.901999999999997915e-02,5.259493670886076444e+00,2.100000000000000000e+01,2.962000000000000099e+01,6.480567000000000000e+07
2.356273514999999819e+01,1.204786900000000003e+02,-3.071545741324920975e+00,1.000000000000000000e+00,8.081999999999998907e-02,4.818679245283019164e+00,2.685000000000000142e+01,2.965303797468354574e+01,6.480597000000000000e+07
2.356273364999999842e+01,1.204786900000000003e+02,-3.203025477707006186e+00,1.000000000000000000e+00,8.261999999999998512e-02,4.701139240506329031e+00,3.400000000000000000e+01,2.971000000000000085e+01,6.480627000000000000e+07
2.356273214999999865e+01,1.204786900000000003e+02,-3.047025316455696409e+00,1.000000000000000000e+00,8.441999999999999504e-02,4.147060702875400295e+00,3.295569620253164800e+01,2.971000000000000085e+01,6.480657000000000000e+07
2.356273064999999889e+01,1.204786900000000003e+02,-3.389968152866241979e+00,1.000000000000000000e+00,8.621999999999999109e-02,4.891111111111110965e+00,3.100000000000000000e+01,2.969000000000000128e+01,6.480687000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.481369426751592222e+00,1.000000000000000000e+00,8.802000000000001489e-02,5.160063291139240782e+00,3.100000000000000000e+01,2.965152866242038243e+01,6.480717000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.486363636363636775e+00,1.000000000000000000e+00,8.982000000000001094e-02,5.244696485623003390e+00,2.891139240506329244e+01,2.978839622641509521e+01,6.480747000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.450000000000000178e+00,1.000000000000000000e+00,9.162000000000002087e-02,5.320407523510971792e+00,2.768789808917197348e+01,2.971663461538461704e+01,6.480777000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.450000000000000178e+00,1.000000000000000000e+00,9.631499999999998396e-02,5.385112540192926289e+00,6.151428571428571246e+01,2.980000000000000071e+01,6.480807000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.316687898089171860e+00,1.000000000000000000e+00,9.766499999999998793e-02,5.453566878980891985e+00,5.234076433121018823e+01,2.980000000000000071e+01,6.480837000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.228571428571428648e+00,1.000000000000000000e+00,9.901499999999999191e-02,5.504999999999999893e+00,8.451111111111110574e+01,2.971487261146496905e+01,6.480867000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.108571428571428541e+00,1.000000000000000000e+00,1.003649999999999959e-01,5.614731861198738017e+00,6.355873015873015675e+01,2.979060126582278656e+01,6.480897000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.154556962025316214e+00,1.000000000000000000e+00,1.017149999999999999e-01,5.734012738853503599e+00,6.300000000000000000e+01,2.980000000000000071e+01,6.480927000000000000e+07
2.356271999999999878e+01,1.204786900000000003e+02,-3.109874213836477885e+00,1.000000000000000000e+00,1.030649999999999900e-01,5.704622641509434544e+00,3.487261146496815201e+01,2.972800000000000153e+01,6.480957000000000000e+07
