lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,Time
2.356265000000000143e+01,1.204786900000000003e+02,-1.271687898089171931e+00,1.000000000000000000e+00,1.220844999999999986e-01,3.426666666666666750e-01,3.017142857142857082e+01,3.176556962025316366e+01,3.968198700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-1.497547169811320744e+00,1.000000000000000000e+00,1.021479999999999888e-01,2.555974842767295696e-01,8.445714285714285552e+01,3.176999999999999957e+01,3.968228700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-1.414679487179486994e+00,1.000000000000000000e+00,1.033479999999999954e-01,1.788745980707395489e-01,5.189490445859872381e+01,3.176999999999999957e+01,3.968258700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-1.592866242038216473e+00,1.000000000000000000e+00,1.045480000000000020e-01,3.086031746031746015e-01,6.171656050955414230e+01,3.176999999999999957e+01,3.968288700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-1.606000000000000094e+00,1.000000000000000000e+00,1.211585000000000162e-01,1.655015873015873051e+00,8.172784810126582045e+01,3.176999999999999957e+01,3.968318700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-1.810127388535031745e+00,1.000000000000000000e+00,1.198085000000000122e-01,4.151142857142857245e+00,6.163375796178343791e+01,3.183514285714285563e+01,3.968348700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-1.974331210191082597e+00,1.000000000000000000e+00,1.184585000000000082e-01,5.566412698412698035e+00,6.817834394904458861e+01,3.185999999999999943e+01,3.968378700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-2.415375000000000050e+00,1.000000000000000000e+00,1.171085000000000043e-01,5.395723270440251795e+00,7.200000000000000000e+01,3.180296178343948910e+01,3.968408700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-2.840903225806451715e+00,1.000000000000000000e+00,1.157585000000000003e-01,4.531929260450160868e+00,7.200000000000000000e+01,3.182285714285714207e+01,3.968438700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-3.000126984126984198e+00,1.000000000000000000e+00,1.144085000000000102e-01,4.302761904761904788e+00,4.042857142857143060e+01,3.191396825396825321e+01,3.968468700000000000e+07
2.356265000000000143e+01,1.204786900000000003e+02,-3.067324840764331206e+00,1.000000000000000000e+00,1.130585000000000062e-01,4.331624203821655250e+00,2.100000000000000000e+01,3.191047923322683744e+01,3.968498700000000000e+07
2.356265000000000143e+01,1.204787071300000036e+02,-3.272000000000000242e+00,1.000000000000000000e+00,1.108519999999999783e-01,5.559492063492062819e+00,2.470063694267516041e+01,3.185999999999999943e+01,3.968528700000000000e+07
2.356265000000000143e+01,1.204787041300000112e+02,-3.476708860759493813e+00,1.000000000000000000e+00,1.096519999999999856e-01,5.387341772151899022e+00,5.349367088607594667e+01,3.185999999999999943e+01,3.968558700000000000e+07
2.356265000000000143e+01,1.204787011300000046e+02,-3.430914826498422610e+00,1.000000000000000000e+00,1.084519999999999790e-01,5.208958990536277867e+00,6.757324840764331952e+01,3.189523809523809561e+01,3.968588700000000000e+07
2.356265000000000143e+01,1.204786799999999971e+02,-3.484372990353697741e+00,1.000000000000000000e+00,1.063455000000000095e-01,4.809326923076922888e+00,6.359872611464967918e+01,3.196000000000000085e+01,3.968618700000000000e+07
2.356265000000000143e+01,1.204786799999999971e+02,-3.484444444444444233e+00,1.000000000000000000e+00,1.052955000000000141e-01,4.845015873015872998e+00,8.500000000000000000e+01,3.196000000000000085e+01,3.968648700000000000e+07
2.356265000000000143e+01,1.204786799999999971e+02,-3.650509554140127566e+00,1.000000000000000000e+00,1.042455000000000048e-01,5.094203821656051012e+00,6.888535031847133894e+01,3.193848101265822947e+01,3.968678700000000000e+07
2.356265000000000143e+01,1.204786799999999971e+02,-3.696095238095238322e+00,1.000000000000000000e+00,1.031955000000000094e-01,5.265605095541401326e+00,3.940952380952381162e+01,3.187656050955413889e+01,3.968708700000000000e+07
2.356265000000000143e+01,1.204786799999999971e+02,-3.670822784810126471e+00,1.000000000000000000e+00,1.021455000000000141e-01,5.369523809523809810e+00,6.440000000000000568e+01,3.196000000000000085e+01,3.968738700000000000e+07
2.356265000000000143e+01,1.204786799999999971e+02,-3.694012738853503564e+00,1.000000000000000000e+00,1.010955000000000048e-01,4.988571428571428434e+00,5.535031847133758021e+01,3.195269841269841393e+01,3.968768700000000000e+07
2.356265000000000143e+01,1.204786799999999971e+02,-4.114394904458598567e+00,1.000000000000000000e+00,1.000455000000000094e-01,5.970125391849529173e+00,8.155696202531645156e+01,3.185999999999999943e+01,3.968798700000000000e+07
2.356263287000000162e+01,1.204786799999999971e+02,-3.127088607594936676e+00,1.000000000000000000e+00,9.813900000000000401e-02,6.409228295819935362e+00,5.300000000000000000e+01,3.185999999999999943e+01,3.968828700000000000e+07
2.356263587000000115e+01,1.204786799999999971e+02,-2.210159744408945581e+00,1.000000000000000000e+00,9.723900000000000599e-02,5.516305732484076074e+00,5.271974522292993726e+01,3.185999999999999943e+01,3.968858700000000000e+07
2.356263887000000068e+01,1.204786799999999971e+02,-2.084571428571428520e+00,1.000000000000000000e+00,9.633900000000000796e-02,8.652000000000001023e+00,3.170063694267516041e+01,3.185999999999999943e+01,3.968888700000000000e+07
2.356266000000000105e+01,1.204786799999999971e+02,-2.111898734177215076e+00,1.000000000000000000e+00,8.999999999999999667e-02,9.310412698412699584e+00,7.137974683544302934e+01,3.185999999999999943e+01,3.968918700000000000e+07
